index,nat1,nat2,nat3,nat4,nat5,nat6,nat7,nat8,nat9,nat10,nat11,nat12,nat13,nat14,nat15,nat16,nat17,nat18,nat19,nat20,nat21,nat22
1,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
2,4,4,7,1,2,3,3,3,8,4,8,4,8,3,3,7,4,4,9,8,3,3
3,1,10,9,1,2,2,3,2,9,1,10,3,6,2,2,7,3,1,8,10,4,3
4,1,6,7,3,3,3,3,2,3,3,7,2,2,6,6,6,4,4,6,5,0,0
5,3,8,8,1,6,4,4,5,7,6,7,5,7,5,4,4,5,3,5,5,4,3
6,0,8,5,0,0,5,0,0,2,0,5,0,0,0,0,5,0,0,7,5,0,0
7,5,10,8,10,9,10,10,10,8,8,8,10,9,9,9,9,9,9,9,10,8,9
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
9,5,7,9,3,5,8,6,6,5,6,6,8,6,6,6,6,7,3,8,6,6,3
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
11,6,9,7,4,5,5,6,6,8,3,8,8,7,6,3,6,7,3,8,6,6,5
12,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,5,6,5,5
13,0,10,10,2,2,8,10,9,2,10,10,10,10,10,8,7,10,1,10,8,10,7
14,5,5,5,8,6,7,7,7,8,7,7,8,9,6,8,7,8,7,7,7,7,7
15,3,4,4,7,7,7,6,8,9,10,10,8,10,10,10,10,10,7,5,9,9,9
16,0,3,2,0,1,1,1,0,0,0,5,1,0,0,1,2,1,1,1,3,0,0
17,0,9,8,0,9,8,5,9,1,6,5,10,5,6,5,4,10,0,8,5,3,2
18,0,10,5,0,9,1,8,8,6,0,5,0,0,7,8,8,10,0,8,9,0,0
19,1,10,6,0,6,6,9,5,1,1,9,3,1,1,3,3,9,1,6,5,4,4
20,7,6,10,4,6,7,8,8,2,7,8,10,6,9,8,6,9,0,8,8,10,5
21,1,10,8,1,8,6,6,6,3,1,8,5,4,6,7,6,6,3,9,7,7,6
22,8,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
23,9,9,6,10,6,8,4,8,4,4,8,8,8,4,4,8,8,8,8,8,9,9
24,0,10,10,0,0,0,0,0,4,0,10,0,1,0,0,1,0,0,1,10,0,0
25,4,9,5,0,7,2,5,5,6,3,5,5,4,3,3,3,3,2,2,2,6,2
26,7,10,10,3,6,5,2,3,5,3,7,2,2,5,2,5,3,2,6,7,3,5
27,1,4,4,3,3,3,3,3,5,4,4,1,3,4,4,5,3,3,5,8,3,3
28,5,10,8,1,8,7,9,7,3,3,9,8,3,2,7,6,8,1,9,6,5,7
29,9,10,10,1,10,9,7,9,0,8,10,10,8,8,9,5,10,0,10,7,10,6
30,0,7,7,1,9,7,8,7,2,3,10,1,1,4,3,2,9,4,2,8,2,2
31,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
32,4,7,8,3,8,5,7,7,3,4,8,8,5,5,6,5,8,3,7,6,8,6
