INDEX,CARD,ORI1,ORI2,ORI3,ENV1,ENV2,CLA1,CLA2,CLA3,EXC1,EXC2,EXC3,NEW1,NEW2,INF1,INF2,INF3,PRICE,Y,Cluster
1,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,1,2,7,0
1,2,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,3,7,0
1,3,0,0,1,1,0,0,1,0,0,1,0,1,0,1,0,0,2,5,0
1,4,0,0,1,0,1,1,0,0,0,0,1,1,0,1,0,0,3,8,0
1,5,0,1,0,0,1,0,0,1,0,1,0,0,1,1,0,0,1,8,0
1,6,1,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,3,4,0
1,7,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,1,8,0
1,8,0,1,0,0,1,0,1,0,0,0,1,1,0,0,1,0,2,5,0
1,9,0,0,1,1,0,0,0,1,0,0,1,0,1,0,1,0,1,7,0
1,10,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,1,7,0
1,11,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,3,5,0
1,12,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1,1,6,0
1,13,0,0,1,1,0,1,0,0,1,0,0,0,1,0,1,0,2,4,0
1,14,1,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,2,3,0
1,15,0,1,0,1,0,0,1,0,1,0,0,0,1,1,0,0,3,3,0
1,16,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,1,1,6,0
1,17,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,2,8,0
1,18,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,1,3,8,0
2,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,1,2,4,1
2,2,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,3,7,1
2,3,0,0,1,1,0,0,1,0,0,1,0,1,0,1,0,0,2,4,1
2,4,0,0,1,0,1,1,0,0,0,0,1,1,0,1,0,0,3,4,1
2,5,0,1,0,0,1,0,0,1,0,1,0,0,1,1,0,0,1,4,1
2,6,1,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,3,4,1
2,7,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,1,3,1
2,8,0,1,0,0,1,0,1,0,0,0,1,1,0,0,1,0,2,3,1
2,9,0,0,1,1,0,0,0,1,0,0,1,0,1,0,1,0,1,4,1
2,10,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,1,5,1
2,11,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,3,5,1
2,12,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1,1,5,1
2,13,0,0,1,1,0,1,0,0,1,0,0,0,1,0,1,0,2,5,1
2,14,1,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,2,5,1
2,15,0,1,0,1,0,0,1,0,1,0,0,0,1,1,0,0,3,5,1
2,16,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,1,1,5,1
2,17,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,2,5,1
2,18,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,1,3,5,1
5,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,1,2,8,0
5,2,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,3,7,0
5,3,0,0,1,1,0,0,1,0,0,1,0,1,0,1,0,0,2,6,0
5,4,0,0,1,0,1,1,0,0,0,0,1,1,0,1,0,0,3,7,0
5,5,0,1,0,0,1,0,0,1,0,1,0,0,1,1,0,0,1,6,0
5,6,1,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,3,7,0
5,7,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,1,7,0
5,8,0,1,0,0,1,0,1,0,0,0,1,1,0,0,1,0,2,6,0
5,9,0,0,1,1,0,0,0,1,0,0,1,0,1,0,1,0,1,7,0
5,10,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,1,7,0
5,11,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,3,7,0
5,12,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1,1,6,0
5,13,0,0,1,1,0,1,0,0,1,0,0,0,1,0,1,0,2,8,0
5,14,1,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,2,8,0
5,15,0,1,0,1,0,0,1,0,1,0,0,0,1,1,0,0,3,3,0
5,16,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,1,1,4,0
5,17,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,2,3,0
5,18,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,1,3,2,0
11,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,1,2,2,1
11,2,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,3,3,1
11,3,0,0,1,1,0,0,1,0,0,1,0,1,0,1,0,0,2,2,1
11,4,0,0,1,0,1,1,0,0,0,0,1,1,0,1,0,0,3,3,1
11,5,0,1,0,0,1,0,0,1,0,1,0,0,1,1,0,0,1,3,1
11,6,1,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,3,3,1
11,7,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,1,3,1
11,8,0,1,0,0,1,0,1,0,0,0,1,1,0,0,1,0,2,3,1
11,9,0,0,1,1,0,0,0,1,0,0,1,0,1,0,1,0,1,6,1
11,10,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,1,2,1
11,11,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,3,7,1
11,12,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1,1,5,1
11,13,0,0,1,1,0,1,0,0,1,0,0,0,1,0,1,0,2,5,1
11,14,1,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,2,5,1
11,15,0,1,0,1,0,0,1,0,1,0,0,0,1,1,0,0,3,6,1
11,16,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,1,1,3,1
11,17,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,2,3,1
11,18,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,1,3,3,1
16,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,1,2,7,0
16,2,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,3,7,0
16,3,0,0,1,1,0,0,1,0,0,1,0,1,0,1,0,0,2,1,0
16,4,0,0,1,0,1,1,0,0,0,0,1,1,0,1,0,0,3,7,0
16,5,0,1,0,0,1,0,0,1,0,1,0,0,1,1,0,0,1,7,0
16,6,1,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,3,1,0
16,7,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,1,7,0
16,8,0,1,0,0,1,0,1,0,0,0,1,1,0,0,1,0,2,7,0
16,9,0,0,1,1,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0
16,10,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,1,7,0
16,11,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,3,7,0
