INDEX,CARD,ORI1,ORI2,ORI3,ENV1,ENV2,CLA1,CLA2,CLA3,EXC1,EXC2,EXC3,NEW1,NEW2,INF1,INF2,INF3,PRICE,Y
1,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,1,150000,7
1,2,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,200000,7
1,3,0,0,1,1,0,0,1,0,0,1,0,1,0,1,0,0,150000,5
1,4,0,0,1,0,1,1,0,0,0,0,1,1,0,1,0,0,200000,8
1,5,0,1,0,0,1,0,0,1,0,1,0,0,1,1,0,0,100000,8
1,6,1,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,200000,4
1,7,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,100000,8
1,8,0,1,0,0,1,0,1,0,0,0,1,1,0,0,1,0,150000,5
1,9,0,0,1,1,0,0,0,1,0,0,1,0,1,0,1,0,100000,7
1,10,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,100000,7
1,11,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,200000,5
1,12,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1,100000,6
1,13,0,0,1,1,0,1,0,0,1,0,0,0,1,0,1,0,150000,4
1,14,1,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,150000,3
1,15,0,1,0,1,0,0,1,0,1,0,0,0,1,1,0,0,200000,3
1,16,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,1,100000,6
1,17,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,150000,8
1,18,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,1,200000,8
5,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,1,150000,8
5,2,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,200000,7
5,3,0,0,1,1,0,0,1,0,0,1,0,1,0,1,0,0,150000,6
5,4,0,0,1,0,1,1,0,0,0,0,1,1,0,1,0,0,200000,7
5,5,0,1,0,0,1,0,0,1,0,1,0,0,1,1,0,0,100000,6
5,6,1,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,200000,7
5,7,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,100000,7
5,8,0,1,0,0,1,0,1,0,0,0,1,1,0,0,1,0,150000,6
5,9,0,0,1,1,0,0,0,1,0,0,1,0,1,0,1,0,100000,7
5,10,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,100000,7
5,11,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,200000,7
5,12,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1,100000,6
5,13,0,0,1,1,0,1,0,0,1,0,0,0,1,0,1,0,150000,8
5,14,1,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,150000,8
5,15,0,1,0,1,0,0,1,0,1,0,0,0,1,1,0,0,200000,3
5,16,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,1,100000,4
5,17,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,150000,3
5,18,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,1,200000,2
16,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,1,150000,7
16,2,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,200000,7
16,3,0,0,1,1,0,0,1,0,0,1,0,1,0,1,0,0,150000,1
16,4,0,0,1,0,1,1,0,0,0,0,1,1,0,1,0,0,200000,7
16,5,0,1,0,0,1,0,0,1,0,1,0,0,1,1,0,0,100000,7
16,6,1,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,200000,1
16,7,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,100000,7
16,8,0,1,0,0,1,0,1,0,0,0,1,1,0,0,1,0,150000,7
16,9,0,0,1,1,0,0,0,1,0,0,1,0,1,0,1,0,100000,0
16,10,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,100000,7
16,11,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,200000,7
16,12,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1,100000,1
16,13,0,0,1,1,0,1,0,0,1,0,0,0,1,0,1,0,150000,7
16,14,1,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,150000,7
16,15,0,1,0,1,0,0,1,0,1,0,0,0,1,1,0,0,200000,1
16,16,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,1,100000,7
16,17,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,150000,7
16,18,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,1,200000,1
18,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,1,150000,0
18,2,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,200000,3
18,3,0,0,1,1,0,0,1,0,0,1,0,1,0,1,0,0,150000,0
18,4,0,0,1,0,1,1,0,0,0,0,1,1,0,1,0,0,200000,0
18,5,0,1,0,0,1,0,0,1,0,1,0,0,1,1,0,0,100000,0
18,6,1,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,200000,0
18,7,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,100000,0
18,8,0,1,0,0,1,0,1,0,0,0,1,1,0,0,1,0,150000,3
18,9,0,0,1,1,0,0,0,1,0,0,1,0,1,0,1,0,100000,0
18,10,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,100000,4
18,11,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,200000,0
18,12,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1,100000,0
18,13,0,0,1,1,0,1,0,0,1,0,0,0,1,0,1,0,150000,0
18,14,1,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,150000,0
18,15,0,1,0,1,0,0,1,0,1,0,0,0,1,1,0,0,200000,0
18,16,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,1,100000,0
18,17,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,150000,0
18,18,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,1,200000,0
24,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,1,150000,2
24,2,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,200000,2
24,3,0,0,1,1,0,0,1,0,0,1,0,1,0,1,0,0,150000,0
24,4,0,0,1,0,1,1,0,0,0,0,1,1,0,1,0,0,200000,0
24,5,0,1,0,0,1,0,0,1,0,1,0,0,1,1,0,0,100000,0
24,6,1,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,200000,0
24,7,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,100000,3
24,8,0,1,0,0,1,0,1,0,0,0,1,1,0,0,1,0,150000,4
24,9,0,0,1,1,0,0,0,1,0,0,1,0,1,0,1,0,100000,3
24,10,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,100000,2
24,11,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,200000,4
24,12,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1,100000,2
24,13,0,0,1,1,0,1,0,0,1,0,0,0,1,0,1,0,150000,2
24,14,1,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,150000,4
24,15,0,1,0,1,0,0,1,0,1,0,0,0,1,1,0,0,200000,1
24,16,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,1,100000,3
24,17,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,150000,2
24,18,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,1,200000,0
27,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,1,150000,1
27,2,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,200000,3
27,3,0,0,1,1,0,0,1,0,0,1,0,1,0,1,0,0,150000,3
27,4,0,0,1,0,1,1,0,0,0,0,1,1,0,1,0,0,200000,3
