INDEX,CARD,OAU1,OAU2,OAU3,MTY1,MTY2,EIN1,EIN2,EIN3,SIN1,SIN2,SIN3,EFI1,EFI2,EFI3,AFI1,AFI2,AFI3,PRICE,Y
1,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,2000000,5
1,2,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,30000,5
1,3,0,1,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,300000,4
1,4,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,30000,7
1,5,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,1,0,300000,4
1,6,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,1,0,300000,7
1,7,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,30000,6
1,8,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,300000,5
1,9,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,2000000,7
1,10,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,2000000,7
1,11,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,1,30000,7
1,12,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,30000,6
1,13,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,2000000,4
1,14,0,0,1,1,0,0,0,1,0,0,1,0,1,0,1,0,0,2000000,5
1,15,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,300000,7
1,16,1,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,300000,7
1,17,0,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,30000,7
1,18,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,2000000,6
2,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,2000000,0
2,2,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,30000,10
2,3,0,1,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,300000,1
2,4,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,30000,10
2,5,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,1,0,300000,1
2,6,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,1,0,300000,0
2,7,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,30000,10
2,8,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,300000,0
2,9,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,2000000,0
