INDEX,CARD,OAU1,OAU2,OAU3,MTY1,MTY2,EIN1,EIN2,EIN3,SIN1,SIN2,SIN3,EFI1,EFI2,EFI3,AFI1,AFI2,AFI3,PRICE,Y,Cluster
1,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,3,5,1
1,2,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,1,5,1
1,3,0,1,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,2,4,1
1,4,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,7,1
1,5,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,1,0,2,4,1
1,6,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,1,0,2,7,1
1,7,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,6,1
1,8,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,2,5,1
1,9,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,3,7,1
1,10,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,3,7,1
1,11,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,1,1,7,1
1,12,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,1,6,1
1,13,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,3,4,1
1,14,0,0,1,1,0,0,0,1,0,0,1,0,1,0,1,0,0,3,5,1
1,15,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,2,7,1
1,16,1,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,2,7,1
1,17,0,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,1,7,1
1,18,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,3,6,1
2,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,3,0,1
2,2,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,1,10,1
2,3,0,1,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,2,1,1
2,4,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,10,1
2,5,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,1,0,2,1,1
2,6,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,1,0,2,0,1
2,7,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,10,1
2,8,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,2,0,1
2,9,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,3,0,1
2,10,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,3,0,1
