INDEX,Intercept,OAU2,OAU3,MTY2,EIN1,EIN3,SIN2,SIN3,EFI1,EFI3,AFI2,AFI3,PRICE
1,6.111,-0.138,-0.357,0.573,-0.144,0.358,-0.086,0.218,-0.033,-0.497,-0.381,0.279,0.165
2,9.464,0.225,0.153,-0.772,-3.041,-1.071,-0.675,-0.961,0.575,-0.657,0.516,1.245,0.783
3,3.706,1.404,-0.209,0.291,-0.759,1.085,0.791,-0.206,0.744,0.658,1.599,-0.088,0.607
5,7.47,0.968,0.948,-0.123,-2.381,-1.02,0.009,0.613,0.249,-1.433,0.075,0.793,-1.049
6,4.991,0.408,-0.288,-0.289,0.259,0.059,-0.501,0.199,-0.596,0.061,-0.176,-0.02,0.113
7,4.185,0.746,-0.004,-0.475,-1.577,0.509,0.748,-0.486,-0.032,0.284,0.972,0.333,0.699
8,2.617,0.918,0.064,0.069,-1.438,0.316,3.064,0.3,0.9,0.925,0.335,-0.184,-0.769
10,6.019,0.63,-0.572,0.35,-2.123,0.855,1.298,-0.557,-0.082,1.708,0.873,-0.383,0.598
12,2.225,1.303,-0.459,-0.001,-0.659,0.85,1.229,-0.362,-0.13,0.299,0.071,0.205,0.191
13,4.146,0.317,0.806,0.569,-0.932,0.433,0.946,0.252,0.28,0.78,0.424,-0.432,-0.534
14,2.792,1.856,0.22,0.584,-0.075,1.979,1.28,0.284,0.301,0.125,0.253,-0.119,0.931
16,7.174,0.711,0.367,0.001,-2.087,2.226,0.337,0.584,-0.246,-0.386,-0.382,0.166,-0.211
19,6.589,0.403,0.267,0.962,-2.607,0.873,1.038,-0.444,0.597,1.478,0.884,-0.44,0.62
22,6.381,1.242,0.573,0.118,-2.249,-0.168,0.553,0.669,-0.008,0.661,0.446,0.597,-0.789
23,3.467,0.728,0.573,0.076,-1.615,0.73,0.688,-0.692,0.466,1.486,0.203,0.094,0.55
28,9.47,0.303,-0.255,-0.059,-1.893,-0.175,0.21,0.145,0.842,-0.594,0.443,0.684,0.578
31,2.508,0.794,-0.199,-0.298,-0.146,1.948,2.335,-1.339,1.017,1.234,0.889,0.3,0.3
32,2.934,-0.074,-0.138,0.307,-1.092,0.619,-0.104,-0.198,-0.323,0.44,0.17,-0.625,0.315
34,4.286,1.081,0.496,0.463,-1.554,1.428,2.006,-0.443,-0.095,0.639,0.532,0.359,0.158
36,1.358,0.015,-0.47,-0.088,0.125,0.467,0.307,-0.623,0.874,-0.277,1.034,-0.286,-0.068
40,8.005,-0.569,0.136,0.013,-0.582,-0.219,0.133,0.03,0.273,0.018,0.735,-0.076,0.399
41,1.96,1.712,0.595,-0.437,-0.937,0.191,1.812,-0.497,0.431,0.624,0.635,0.589,0.45
43,2.712,0.563,-0.283,0.979,-0.339,0.789,3.036,-1.061,-0.024,0.486,-0.921,0.135,-0.537
44,10.979,0.685,0.336,0.233,-3.094,0.323,0.437,0.207,0.319,-0.105,0.267,0.406,0.39
46,5.156,-0.23,0.131,0.235,-0.406,0.584,0.376,-0.227,-0.919,0.041,0.972,0.172,0.438
48,2.426,0.161,-0.325,-0.09,-0.636,0.022,4.721,0.143,0.477,0.382,-0.195,-0.443,-0.449
52,6.154,-0.122,0.538,0.068,-2.204,-0.722,0.994,-0.567,0.799,0.218,1.03,0.208,0.893
53,4.343,0.206,-0.99,0.289,0.3,0.659,-0.615,0.262,-0.086,-0.013,-0.002,-0.55,0.299
57,1.33,1.133,-0.224,0.731,-0.83,1.111,3.055,-0.296,-0.52,1.057,-0.108,0.418,-0.153
58,5.42,0.879,1.758,0.492,-1.144,0.99,2.093,-0.621,-0.98,1.075,1.184,-0.213,-0.102
63,4.036,-0.215,0.454,-0.122,-0.046,-0.325,0.642,0.715,-0.819,-0.056,-0.271,0.472,-0.604
65,4.776,0.643,0.413,0.254,0.042,0.645,2.256,-0.074,-0.201,0.422,0.42,-0.124,0.127
69,4.992,0.655,0.413,0.511,-0.154,0.901,0.25,-0.791,1.071,0.413,0.538,-0.273,0.781
71,6.08,-0.069,-0.216,0.371,0.122,0.413,-0.33,0.481,0.114,-0.089,0.251,0.321,0.232
74,2.575,0.15,0.308,0.212,-0.068,0.132,2.971,0.22,-0.141,0.293,0.199,0.237,0.025
75,4.884,0.123,-0.448,-0.084,-0.094,0.827,-0.546,-0.029,0.803,1.061,0.392,0.142,-0.201
77,3.57,0.34,-0.203,0.255,0.552,-0.47,0.954,0.7,0.232,0.576,0.341,-0.453,-0.077
78,5.239,0.164,-0.428,0.253,0.273,0.163,-0.196,0.496,0.255,0.263,0.022,-0.121,-0.24
79,4.122,0.459,0.08,0.327,0.101,-0.015,1.048,-0.154,0.076,0.106,0.471,-0.129,0.098
82,7.408,0.161,0.228,0.202,-1.715,0.502,0.299,0.094,0.306,0.281,0.379,0.569,0.336
83,5.464,1.128,-0.495,0.225,-0.247,0.556,0.052,0.238,0.587,0.224,0.583,-0.151,0.305
92,4.278,0.517,0.718,0.155,-1.211,0.99,0.834,0.678,0.467,-0.392,-0.027,-0.153,0.197
94,10.085,0.088,0.511,0.419,-3.742,0.419,-0.035,0.194,0.322,0.387,0.366,0.67,0.327
95,3.302,0.668,-0.292,-1.337,-0.013,-0.736,2.091,-1.585,0.397,0.658,0.792,0.313,0.649
100,2.024,0.657,0.392,0.626,-0.452,0.541,2.172,-0.055,0.152,0.942,0.49,-0.226,0.127
