INDEX,Intercept,ORI1,ORI3,ENV2,CLA2,CLA3,EXC2,EXC3,NEW2,INF2,INF3,PRICE
1,5.673,0.089,0.699,-0.258,0.427,0.564,-0.614,0.035,1.159,0.161,-0.044,-0.007
2,3.701,0.028,0.403,0.263,0.052,-0.267,-0.028,-0.15,0.474,0.051,0.152,0.286
5,5.66,0.609,-0.536,-0.06,0.264,-0.025,0.081,0.419,-0.503,0.399,-0.191,0.826
11,2.9,0.229,0.159,0.103,0.357,-0.31,0.436,0.112,-0.719,0.518,1.152,0.037
16,5.458,0.622,0.232,-0.144,-1.516,0.2,-0.989,-1.093,0.491,1.076,0.034,0.103
17,3.439,-0.285,0.608,0.999,0.171,-0.04,-0.164,0.065,0.133,0.577,-0.19,0.746
18,1.435,-0.083,-0.274,-0.36,-0.53,-0.071,0.378,-0.403,0.525,0.056,-0.503,0.851
24,2.746,0.434,0.391,-0.521,-0.477,-0.482,0.201,-0.253,-0.482,0.855,0.138,0.402
25,5.87,-0.27,0.074,0.379,-0.264,-0.627,-0.241,-0.252,-0.041,-0.052,0.403,-0.154
26,5.761,0.169,0.081,0.432,0.068,0.028,-0.036,-1.153,0.447,0.457,0.031,0.33
27,3.669,0.362,0.028,-0.394,0.569,0.176,0.489,0.033,0.237,0.227,2.489,0.477
28,2.145,0.335,0.184,-0.264,0.102,-0.261,0.296,-0.064,-0.208,0.806,0.597,1.102
33,5.675,-0.384,-0.277,-0.472,0.516,-0.098,0.431,-0.223,0.373,-0.379,-0.379,0.859
37,4.09,-0.184,0.715,0.842,-0.398,0.233,-0.427,-0.336,0.539,0.537,0.239,-0.292
38,3.682,0.443,-0.219,-0.144,0.464,0.02,0.47,0.002,1.32,1.869,1.053,0.678
40,6.413,-0.151,-0.56,-0.59,-0.941,-0.158,0.526,-0.158,0.206,0.189,-0.462,2.152
41,6.664,0.216,0.191,0.078,0.549,0.058,-0.171,-0.278,-0.087,0.48,0.195,-0.027
42,2.76,-0.311,1.046,1.308,-0.203,-0.545,-0.695,0.992,0.532,-0.81,2.635,0.923
45,4.709,0.631,0.641,-0.297,0.398,0.361,-0.137,0.329,-0.302,0.282,0.057,-0.039
