,Coefficient,Standard error,P-value
Intercept,4.246732026143801,0.17405726091037635,0.0
ORI1,0.21486928104575131,0.10658786881422597,0.043885
ORI3,-0.1732026143790842,0.10658786881422458,0.104254
ENV2,-0.045343137254885146,0.09230780212836155,0.623303
CLA2,-0.251633986928102,0.10658786881422444,0.018287
CLA3,-1.155228758169937,0.10658786881422572,0.0
EXC2,0.2524509803921589,0.1065878688142254,0.017913
EXC3,0.6985294117647076,0.10658786881422565,0.0
NEW2,1.4080882352941082,0.09230780212836226,0.0
INF2,0.8169934640522843,0.10658786881422568,0.0
INF3,0.5531045751633961,0.10658786881422522,0.0
PRICE,-0.09967320261437386,0.0532939344071124,0.061528
